potato_id,image,bbox_json,area,grade,signal_bits,lane,total_defects,defect_counts_json,defects_json
2025110513292601,/tmp/potato_inspection_system/data/test/project-3-at-2025-11-04-13-44-8dae778d_new/images/test/0142ce97-Pic_2025_10_21_154621_149.jpeg,"[2109, 615, 748, 436]",321103.0,OK_S7,00000010,7,3,"{""black_spots"": 2, ""red_spots"": 1}","[{""class"": ""black_spots"", ""confidence"": 0.6314294934272766, ""obb"": {""xyxyxyxy"": [[2634.322265625, 847.84423828125], [2635.6279296875, 780.2078857421875], [2574.0078125, 779.018310546875], [2572.7021484375, 846.6546630859375]], ""xywhr"": [2604.1650390625, 813.4312744140625, 61.63140869140625, 67.64891052246094, 0.019302373751997948], ""area"": 4122.0}}, {""class"": ""red_spots"", ""confidence"": 0.6259198784828186, ""obb"": {""xyxyxyxy"": [[2518.894775390625, 1012.0366821289062], [2523.310791015625, 874.9100952148438], [2370.313720703125, 869.9830932617188], [2365.897705078125, 1007.1096801757812]], ""xywhr"": [2444.604248046875, 941.0098876953125, 153.0764923095703, 137.19766235351562, 0.03219196945428848], ""area"": 21139.0}}, {""class"": ""black_spots"", ""confidence"": 0.6231809854507446, ""obb"": {""xyxyxyxy"": [[2412.402587890625, 767.1058959960938], [2415.089599609375, 714.1172485351562], [2360.194580078125, 711.3338012695312], [2357.507568359375, 764.3224487304688]], ""xywhr"": [2386.298583984375, 739.2198486328125, 54.9653205871582, 53.05674362182617, 0.050662562251091], ""area"": 2924.0}}]"
2025110513292602,/tmp/potato_inspection_system/data/test/project-3-at-2025-11-04-13-44-8dae778d_new/images/test/0142ce97-Pic_2025_10_21_154621_149.jpeg,"[2827, 1142, 727, 458]",328927.5,OK_S7,00000010,7,2,"{""red_spots"": 2}","[{""class"": ""red_spots"", ""confidence"": 0.4559246003627777, ""obb"": {""xyxyxyxy"": [[3233.40625, 1538.8670654296875], [3239.01708984375, 1339.1278076171875], [3022.0361328125, 1333.0325927734375], [3016.42529296875, 1532.7718505859375]], ""xywhr"": [3127.72119140625, 1435.9498291015625, 217.06643676757812, 199.8179931640625, 0.0280834399163723], ""area"": 43219.0}}, {""class"": ""red_spots"", ""confidence"": 0.27845823764801025, ""obb"": {""xyxyxyxy"": [[3520.459228515625, 1390.854736328125], [3526.434326171875, 1214.529541015625], [3369.867431640625, 1209.223876953125], [3363.892333984375, 1385.549072265625]], ""xywhr"": [3445.163330078125, 1300.039306640625, 156.65655517578125, 176.426513671875, 0.033874161541461945], ""area"": 27662.0}}]"
2025110513292603,/tmp/potato_inspection_system/data/test/project-3-at-2025-11-04-13-44-8dae778d_new/images/test/0142ce97-Pic_2025_10_21_154621_149.jpeg,"[174, 89, 629, 432]",267098.5,OK_S7,00000010,7,3,"{""scabs"": 1, ""black_spots"": 2}","[{""class"": ""scabs"", ""confidence"": 0.8514020442962646, ""obb"": {""xyxyxyxy"": [[776.0867919921875, 351.8701477050781], [777.918701171875, 212.99032592773438], [661.0416259765625, 211.44869995117188], [659.209716796875, 350.3285217285156]], ""xywhr"": [718.564208984375, 281.659423828125, 116.88720703125, 138.8918914794922, 0.013189482502639294], ""area"": 16195.0}}, {""class"": ""black_spots"", ""confidence"": 0.5544339418411255, ""obb"": {""xyxyxyxy"": [[480.28009033203125, 367.085205078125], [483.38702392578125, 298.64215087890625], [417.92486572265625, 295.6705322265625], [414.81793212890625, 364.11358642578125]], ""xywhr"": [449.10247802734375, 331.37786865234375, 65.52958679199219, 68.51355743408203, 0.045363664627075195], ""area"": 4563.0}}, {""class"": ""black_spots"", ""confidence"": 0.42552855610847473, ""obb"": {""xyxyxyxy"": [[482.80364990234375, 267.6509704589844], [488.41064453125, 167.45822143554688], [390.47015380859375, 161.97726440429688], [384.8631591796875, 262.1700134277344]], ""xywhr"": [436.63690185546875, 214.81411743164062, 98.09375, 100.34951782226562, 0.05590369552373886], ""area"": 9882.0}}]"
2025110513292604,/tmp/potato_inspection_system/data/test/project-3-at-2025-11-04-13-44-8dae778d_new/images/test/0142ce97-Pic_2025_10_21_154621_149.jpeg,"[791, 2304, 789, 467]",362519.5,NG,00000001,8,7,"{""red_spots"": 4, ""black_spots"": 2, ""scabs"": 1}","[{""class"": ""red_spots"", ""confidence"": 0.6012681722640991, ""obb"": {""xyxyxyxy"": [[1123.914306640625, 2524.810546875], [1397.51611328125, 2520.54248046875], [1394.766845703125, 2344.306640625], [1121.1650390625, 2348.57470703125]], ""xywhr"": [1259.340576171875, 2434.55859375, 176.2572784423828, 273.63507080078125, 1.555198073387146], ""area"": 48146.0}}, {""class"": ""black_spots"", ""confidence"": 0.5797157883644104, ""obb"": {""xyxyxyxy"": [[1324.176513671875, 2704.580078125], [1325.596435546875, 2613.64208984375], [1226.383544921875, 2612.0927734375], [1224.963623046875, 2703.03076171875]], ""xywhr"": [1275.280029296875, 2658.33642578125, 99.22505950927734, 90.9488754272461, 0.015613853931427002], ""area"": 9056.0}}, {""class"": ""black_spots"", ""confidence"": 0.5340877771377563, ""obb"": {""xyxyxyxy"": [[1426.627197265625, 2651.034423828125], [1427.36376953125, 2579.583740234375], [1358.080078125, 2578.869384765625], [1357.343505859375, 2650.320068359375]], ""xywhr"": [1392.3536376953125, 2614.951904296875, 69.28743743896484, 71.454345703125, 0.01030690222978592], ""area"": 4969.0}}, {""class"": ""red_spots"", ""confidence"": 0.34139761328697205, ""obb"": {""xyxyxyxy"": [[1170.5394287109375, 2614.339111328125], [1173.4610595703125, 2473.633056640625], [1034.6014404296875, 2470.749755859375], [1031.6798095703125, 2611.455810546875]], ""xywhr"": [1102.5704345703125, 2542.54443359375, 138.88943481445312, 140.73635864257812, 0.020760422572493553], ""area"": 19608.0}}, {""class"": ""scabs"", ""confidence"": 0.32859304547309875, ""obb"": {""xyxyxyxy"": [[1052.0185546875, 2697.81298828125], [1056.73583984375, 2582.3603515625], [933.8577270507812, 2577.33984375], [929.1405639648438, 2692.79248046875]], ""xywhr"": [992.9381713867188, 2637.576416015625, 122.9805679321289, 115.54888916015625, 0.04083540663123131], ""area"": 14165.0}}, {""class"": ""red_spots"", ""confidence"": 0.29811593890190125, ""obb"": {""xyxyxyxy"": [[1171.7818603515625, 2592.536865234375], [1175.9156494140625, 2435.474853515625], [1000.0839233398438, 2430.846923828125], [995.9500122070312, 2587.908935546875]], ""xywhr"": [1085.932861328125, 2511.69189453125, 175.8927001953125, 157.11631774902344, 0.026314174756407738], ""area"": 27576.0}}, {""class"": ""red_spots"", ""confidence"": 0.26199615001678467, ""obb"": {""xyxyxyxy"": [[1075.096435546875, 2539.9931640625], [1079.4130859375, 2413.6474609375], [910.4149169921875, 2407.87353515625], [906.098388671875, 2534.21923828125]], ""xywhr"": [992.7557373046875, 2473.933349609375, 169.0967559814453, 126.41935729980469, 0.034151576459407806], ""area"": 21400.5}}]"
2025110513292605,/tmp/potato_inspection_system/data/test/project-3-at-2025-11-04-13-44-8dae778d_new/images/test/0142ce97-Pic_2025_10_21_154621_149.jpeg,"[513, 1790, 754, 443]",330506.5,OK_S7,00000010,7,2,"{""red_spots"": 1, ""scabs"": 1}","[{""class"": ""red_spots"", ""confidence"": 0.6577702164649963, ""obb"": {""xyxyxyxy"": [[1037.0401611328125, 2032.0167236328125], [1040.2530517578125, 1842.4862060546875], [795.70068359375, 1838.3406982421875], [792.48779296875, 2027.8712158203125]], ""xywhr"": [916.3704223632812, 1935.1787109375, 244.5874481201172, 189.55764770507812, 0.01695018820464611], ""area"": 46441.0}}, {""class"": ""scabs"", ""confidence"": 0.3122164309024811, ""obb"": {""xyxyxyxy"": [[781.571044921875, 2181.17333984375], [915.6612548828125, 2180.2041015625], [914.85107421875, 2068.1142578125], [780.7608642578125, 2069.08349609375]], ""xywhr"": [848.2110595703125, 2124.643798828125, 112.0927505493164, 134.09365844726562, 1.5635688304901123], ""area"": 15009.0}}]"
2025110513292606,/tmp/potato_inspection_system/data/test/project-3-at-2025-11-04-13-44-8dae778d_new/images/test/0142ce97-Pic_2025_10_21_154621_149.jpeg,"[2207, 2316, 659, 387]",253330.0,NG,00000001,8,4,"{""scabs"": 3, ""red_spots"": 1}","[{""class"": ""scabs"", ""confidence"": 0.9086450338363647, ""obb"": {""xyxyxyxy"": [[2469.693359375, 2513.927734375], [2478.34765625, 2323.4580078125], [2234.13037109375, 2312.36181640625], [2225.47607421875, 2502.83154296875]], ""xywhr"": [2351.911865234375, 2413.144775390625, 244.4691619873047, 190.66616821289062, 0.04540429636836052], ""area"": 46459.0}}, {""class"": ""scabs"", ""confidence"": 0.8220322132110596, ""obb"": {""xyxyxyxy"": [[2857.61962890625, 2668.97119140625], [2860.19677734375, 2359.888671875], [2712.25390625, 2358.6552734375], [2709.6767578125, 2667.73779296875]], ""xywhr"": [2784.936767578125, 2513.813232421875, 147.9480743408203, 309.093505859375, 0.008337837643921375], ""area"": 45735.0}}, {""class"": ""red_spots"", ""confidence"": 0.7081770896911621, ""obb"": {""xyxyxyxy"": [[2338.211669921875, 2589.694091796875], [2342.349365234375, 2494.453369140625], [2255.012451171875, 2490.658935546875], [2250.874755859375, 2585.899658203125]], ""xywhr"": [2296.612060546875, 2540.176513671875, 87.41920471191406, 95.33039855957031, 0.043416038155555725], ""area"": 8330.5}}, {""class"": ""scabs"", ""confidence"": 0.42776980996131897, ""obb"": {""xyxyxyxy"": [[2636.98046875, 2667.117431640625], [2662.30419921875, 2441.938720703125], [2342.93505859375, 2406.022216796875], [2317.611328125, 2631.200927734375]], ""xywhr"": [2489.957763671875, 2536.56982421875, 321.38232421875, 226.5982666015625, 0.11199071258306503], ""area"": 72952.5}}]"
2025110513292607,/tmp/potato_inspection_system/data/test/project-3-at-2025-11-04-13-44-8dae778d_new/images/test/0142ce97-Pic_2025_10_21_154621_149.jpeg,"[2091, 2815, 613, 173]",103872.0,OK_S3,00100000,3,1,"{""red_spots"": 1}","[{""class"": ""red_spots"", ""confidence"": 0.2533690929412842, ""obb"": {""xyxyxyxy"": [[2631.60302734375, 2998.234130859375], [2631.888671875, 2837.900146484375], [2236.6806640625, 2837.196533203125], [2236.39501953125, 2997.530517578125]], ""xywhr"": [2434.141845703125, 2917.71533203125, 395.20855712890625, 160.33444213867188, 0.0017800331115722656], ""area"": 63397.5}}]"
2025110513292608,/tmp/potato_inspection_system/data/test/project-3-at-2025-11-04-13-44-8dae778d_new/images/test/0142ce97-Pic_2025_10_21_154621_149.jpeg,"[2773, 2813, 619, 191]",116708.0,OK_S3,00100000,3,0,{},[]
2025110513292609,/tmp/potato_inspection_system/data/test/project-3-at-2025-11-04-13-44-8dae778d_new/images/test/1cd36156-Pic_2025_10_21_155111_242.jpeg,"[661, 561, 802, 523]",414288.5,OK_S7,00000010,7,4,"{""scabs"": 1, ""red_spots"": 3}","[{""class"": ""scabs"", ""confidence"": 0.897396445274353, ""obb"": {""xyxyxyxy"": [[1485.477294921875, 1014.5988159179688], [1487.075439453125, 822.2240600585938], [1345.73876953125, 821.0498657226562], [1344.140625, 1013.4246215820312]], ""xywhr"": [1415.6080322265625, 917.8243408203125, 141.34153747558594, 192.38143920898438, 0.008307876996695995], ""area"": 27169.5}}, {""class"": ""red_spots"", ""confidence"": 0.7911548018455505, ""obb"": {""xyxyxyxy"": [[989.4999389648438, 813.9443359375], [993.8668823242188, 641.5706787109375], [801.9890747070312, 636.7095947265625], [797.6221313476562, 809.083251953125]], ""xywhr"": [895.7445068359375, 725.3269653320312, 191.93931579589844, 172.42897033691406, 0.025328846648335457], ""area"": 33138.0}}, {""class"": ""red_spots"", ""confidence"": 0.5799181461334229, ""obb"": {""xyxyxyxy"": [[1036.1351318359375, 1023.151123046875], [1038.6124267578125, 893.058837890625], [836.7389526367188, 889.2147216796875], [834.2616577148438, 1019.3070068359375]], ""xywhr"": [936.43701171875, 956.1829223632812, 201.9100341796875, 130.1158905029297, 0.019040031358599663], ""area"": 26268.0}}, {""class"": ""red_spots"", ""confidence"": 0.4042833149433136, ""obb"": {""xyxyxyxy"": [[1302.9500732421875, 863.5556640625], [1307.5335693359375, 783.19482421875], [1221.7313232421875, 778.301025390625], [1217.1478271484375, 858.661865234375]], ""xywhr"": [1262.3406982421875, 820.9283447265625, 85.9417953491211, 80.49146270751953, 0.05697459727525711], ""area"": 6862.5}}]"
2025110513292610,/tmp/potato_inspection_system/data/test/project-3-at-2025-11-04-13-44-8dae778d_new/images/test/1ddcb126-Pic_2025_10_21_153846_17.jpeg,"[841, 1488, 694, 403]",276404.0,OK_S7,00000010,7,2,"{""red_spots"": 2}","[{""class"": ""red_spots"", ""confidence"": 0.6056393980979919, ""obb"": {""xyxyxyxy"": [[1383.121337890625, 1849.231201171875], [1390.28466796875, 1576.255859375], [1059.86865234375, 1567.585205078125], [1052.705322265625, 1840.560546875]], ""xywhr"": [1221.4949951171875, 1708.408203125, 330.52972412109375, 273.0693359375, 0.02623552829027176], ""area"": 90426.0}}, {""class"": ""red_spots"", ""confidence"": 0.31604623794555664, ""obb"": {""xyxyxyxy"": [[1104.9478759765625, 1824.20361328125], [1108.5150146484375, 1697.5390625], [1012.1661376953125, 1694.82568359375], [1008.598876953125, 1821.490234375]], ""xywhr"": [1058.5570068359375, 1759.5146484375, 96.3871841430664, 126.71464538574219, 0.02815525233745575], ""area"": 12204.0}}]"
