potato_id,image,bbox_json,area,grade,signal_bits,lane,total_defects,defect_counts_json,defects_json
2025110411230001,/tmp/potato_inspection_system/data/test/project-3-at-2025-10-30-19-49-55a1bb93(1)/images/test/0fcb7e97-Pic_2025_10_21_154804_181.jpeg,"[2486, 2479, 576, 462]",166610.0,OK_S4,00010000,4,1,"{""scabs"": 1}","[{""class"": ""scabs"", ""confidence"": 0.7007854580879211, ""obb"": {""xyxyxyxy"": [[2873.114990234375, 2717.10546875], [2879.723876953125, 2530.09130859375], [2665.811767578125, 2522.53173828125], [2659.202880859375, 2709.5458984375]], ""xywhr"": [2769.46337890625, 2619.818603515625, 214.04574584960938, 187.1307373046875, 0.0353248156607151], ""area"": 40066.0}}]"
2025110411230002,/tmp/potato_inspection_system/data/test/project-3-at-2025-10-30-19-49-55a1bb93(1)/images/test/0fcb7e97-Pic_2025_10_21_154804_181.jpeg,"[2835, 1928, 702, 311]",163538.0,OK_S4,00010000,4,2,"{""scabs"": 1, ""red_spots"": 1}","[{""class"": ""scabs"", ""confidence"": 0.4672987163066864, ""obb"": {""xyxyxyxy"": [[3479.013916015625, 2211.5400390625], [3593.170654296875, 2210.40478515625], [3590.930419921875, 1985.146484375], [3476.773681640625, 1986.281982421875]], ""xywhr"": [3534.97216796875, 2098.34326171875, 225.269287109375, 114.1623764038086, 1.5608505010604858], ""area"": 25653.0}}, {""class"": ""red_spots"", ""confidence"": 0.3390990197658539, ""obb"": {""xyxyxyxy"": [[3299.01318359375, 2034.147216796875], [3303.322265625, 1903.33984375], [3099.4287109375, 1896.62353515625], [3095.11962890625, 2027.430908203125]], ""xywhr"": [3199.220947265625, 1965.3853759765625, 204.0042724609375, 130.87838745117188, 0.03292881324887276], ""area"": 26752.0}}]"
2025110411230003,/tmp/potato_inspection_system/data/test/project-3-at-2025-10-30-19-49-55a1bb93(1)/images/test/0fcb7e97-Pic_2025_10_21_154804_181.jpeg,"[127, 0, 3833, 2720]",3913370.5,NG,00000001,8,8,"{""scabs"": 3, ""red_spots"": 4, ""black_spots"": 1}","[{""class"": ""scabs"", ""confidence"": 0.7007854580879211, ""obb"": {""xyxyxyxy"": [[2873.114990234375, 2717.10546875], [2879.723876953125, 2530.09130859375], [2665.811767578125, 2522.53173828125], [2659.202880859375, 2709.5458984375]], ""xywhr"": [2769.46337890625, 2619.818603515625, 214.04574584960938, 187.1307373046875, 0.0353248156607151], ""area"": 40066.0}}, {""class"": ""scabs"", ""confidence"": 0.5534269213676453, ""obb"": {""xyxyxyxy"": [[688.0934448242188, 2876.904541015625], [692.0087280273438, 2444.260986328125], [260.77191162109375, 2440.358642578125], [256.85662841796875, 2873.002197265625]], ""xywhr"": [474.43267822265625, 2658.631591796875, 431.25445556640625, 432.66107177734375, 0.009049400687217712], ""area"": 186854.0}}, {""class"": ""red_spots"", ""confidence"": 0.49558496475219727, ""obb"": {""xyxyxyxy"": [[696.6534423828125, 1645.1396484375], [698.1549072265625, 1506.71630859375], [575.57275390625, 1505.38671875], [574.0712890625, 1643.81005859375]], ""xywhr"": [636.1130981445312, 1575.26318359375, 122.58930969238281, 138.43136596679688, 0.010846379213035107], ""area"": 16968.5}}, {""class"": ""scabs"", ""confidence"": 0.4672987163066864, ""obb"": {""xyxyxyxy"": [[3479.013916015625, 2211.5400390625], [3593.170654296875, 2210.40478515625], [3590.930419921875, 1985.146484375], [3476.773681640625, 1986.281982421875]], ""xywhr"": [3534.97216796875, 2098.34326171875, 225.269287109375, 114.1623764038086, 1.5608505010604858], ""area"": 25653.0}}, {""class"": ""red_spots"", ""confidence"": 0.3390990197658539, ""obb"": {""xyxyxyxy"": [[3299.01318359375, 2034.147216796875], [3303.322265625, 1903.33984375], [3099.4287109375, 1896.62353515625], [3095.11962890625, 2027.430908203125]], ""xywhr"": [3199.220947265625, 1965.3853759765625, 204.0042724609375, 130.87838745117188, 0.03292881324887276], ""area"": 26752.0}}, {""class"": ""black_spots"", ""confidence"": 0.28834545612335205, ""obb"": {""xyxyxyxy"": [[3073.834716796875, 2287.25390625], [3202.355712890625, 2286.9521484375], [3202.163818359375, 2205.2392578125], [3073.642822265625, 2205.541015625]], ""xywhr"": [3137.999267578125, 2246.24658203125, 81.7132339477539, 128.52157592773438, 1.5684473514556885], ""area"": 10513.5}}, {""class"": ""red_spots"", ""confidence"": 0.27047738432884216, ""obb"": {""xyxyxyxy"": [[964.20166015625, 1660.372314453125], [972.5614013671875, 1379.312255859375], [696.2694091796875, 1371.09423828125], [687.90966796875, 1652.154296875]], ""xywhr"": [830.2355346679688, 1515.7332763671875, 276.4141540527344, 281.184326171875, 0.029735015705227852], ""area"": 77764.5}}, {""class"": ""red_spots"", ""confidence"": 0.2629348933696747, ""obb"": {""xyxyxyxy"": [[2540.626708984375, 2763.89208984375], [2543.929443359375, 2546.345703125], [2370.896728515625, 2543.71875], [2367.593994140625, 2761.26513671875]], ""xywhr"": [2455.76171875, 2653.805419921875, 173.05250549316406, 217.5714874267578, 0.015179799869656563], ""area"": 37635.0}}]"
2025110411230004,/tmp/potato_inspection_system/data/test/project-3-at-2025-10-30-19-49-55a1bb93(1)/images/test/11fe436c-Pic_2025_10_21_154309_43.jpeg,"[2086, 2940, 1467, 60]",54253.5,OK_S2,01000000,2,0,{},[]
2025110411230005,/tmp/potato_inspection_system/data/test/project-3-at-2025-10-30-19-49-55a1bb93(1)/images/test/11fe436c-Pic_2025_10_21_154309_43.jpeg,"[2678, 0, 503, 441]",144726.0,OK_S4,00010000,4,2,"{""black_spots"": 2}","[{""class"": ""black_spots"", ""confidence"": 0.653075098991394, ""obb"": {""xyxyxyxy"": [[2962.523681640625, 237.1059112548828], [2964.998291015625, 152.1297149658203], [2874.701416015625, 149.50013732910156], [2872.226806640625, 234.47633361816406]], ""xywhr"": [2918.612548828125, 193.3030242919922, 90.33537292480469, 85.0122299194336, 0.02911324054002762], ""area"": 7656.0}}, {""class"": ""black_spots"", ""confidence"": 0.3147776424884796, ""obb"": {""xyxyxyxy"": [[2807.648681640625, 228.74281311035156], [2897.896728515625, 227.77854919433594], [2896.980712890625, 142.0421905517578], [2806.732666015625, 143.00645446777344]], ""xywhr"": [2852.314697265625, 185.3925018310547, 85.74125671386719, 90.25324249267578, 1.5601121187210083], ""area"": 7651.0}}]"
2025110411230006,/tmp/potato_inspection_system/data/test/project-3-at-2025-10-30-19-49-55a1bb93(1)/images/test/11fe436c-Pic_2025_10_21_154309_43.jpeg,"[150, 0, 3839, 2708]",3735934.0,NG,00000001,8,5,"{""black_spots"": 3, ""red_spots"": 1, ""scabs"": 1}","[{""class"": ""black_spots"", ""confidence"": 0.653075098991394, ""obb"": {""xyxyxyxy"": [[2962.523681640625, 237.1059112548828], [2964.998291015625, 152.1297149658203], [2874.701416015625, 149.50013732910156], [2872.226806640625, 234.47633361816406]], ""xywhr"": [2918.612548828125, 193.3030242919922, 90.33537292480469, 85.0122299194336, 0.02911324054002762], ""area"": 7656.0}}, {""class"": ""red_spots"", ""confidence"": 0.44478240609169006, ""obb"": {""xyxyxyxy"": [[3000.681884765625, 1708.764892578125], [3003.303466796875, 1545.154541015625], [2884.699951171875, 1543.254150390625], [2882.078369140625, 1706.864501953125]], ""xywhr"": [2942.69091796875, 1626.009521484375, 118.61860656738281, 163.6313018798828, 0.0160207562148571], ""area"": 19320.5}}, {""class"": ""black_spots"", ""confidence"": 0.3147776424884796, ""obb"": {""xyxyxyxy"": [[2807.648681640625, 228.74281311035156], [2897.896728515625, 227.77854919433594], [2896.980712890625, 142.0421905517578], [2806.732666015625, 143.00645446777344]], ""xywhr"": [2852.314697265625, 185.3925018310547, 85.74125671386719, 90.25324249267578, 1.5601121187210083], ""area"": 7651.0}}, {""class"": ""black_spots"", ""confidence"": 0.3015410006046295, ""obb"": {""xyxyxyxy"": [[2868.06982421875, 1769.79248046875], [2868.0908203125, 1708.612548828125], [2802.15966796875, 1708.58984375], [2802.138671875, 1769.769775390625]], ""xywhr"": [2835.11474609375, 1739.191162109375, 65.93121337890625, 61.17985916137695, 0.0003439847205299884], ""area"": 4026.0}}, {""class"": ""scabs"", ""confidence"": 0.2775614261627197, ""obb"": {""xyxyxyxy"": [[2548.53125, 1689.4425048828125], [2549.77099609375, 1559.8214111328125], [2425.45947265625, 1558.6322021484375], [2424.2197265625, 1688.2532958984375]], ""xywhr"": [2486.995361328125, 1624.037353515625, 124.31727600097656, 129.62705993652344, 0.009565751999616623], ""area"": 16121.0}}]"
2025110411230007,/tmp/potato_inspection_system/data/test/project-3-at-2025-10-30-19-49-55a1bb93(1)/images/test/142d3876-Pic_2025_10_21_155115_246.jpeg,"[2078, 2748, 850, 102]",51853.0,OK_S2,01000000,2,0,{},[]
2025110411230008,/tmp/potato_inspection_system/data/test/project-3-at-2025-10-30-19-49-55a1bb93(1)/images/test/142d3876-Pic_2025_10_21_155115_246.jpeg,"[930, 2399, 538, 409]",136521.0,OK_S4,00010000,4,4,"{""scabs"": 1, ""red_spots"": 2, ""black_spots"": 1}","[{""class"": ""scabs"", ""confidence"": 0.40688011050224304, ""obb"": {""xyxyxyxy"": [[1570.799072265625, 2797.0166015625], [1574.82470703125, 2494.1748046875], [1353.388427734375, 2491.2314453125], [1349.36279296875, 2794.0732421875]], ""xywhr"": [1462.09375, 2644.1240234375, 221.4559326171875, 302.86871337890625, 0.013292190618813038], ""area"": 66975.0}}, {""class"": ""red_spots"", ""confidence"": 0.34421688318252563, ""obb"": {""xyxyxyxy"": [[1057.4727783203125, 2709.972900390625], [1060.1185302734375, 2506.431884765625], [835.1608276367188, 2503.507568359375], [832.5150756835938, 2707.048583984375]], ""xywhr"": [946.3167724609375, 2606.740234375, 224.97665405273438, 203.5580291748047, 0.012998015619814396], ""area"": 45795.0}}, {""class"": ""black_spots"", ""confidence"": 0.3412107527256012, ""obb"": {""xyxyxyxy"": [[1095.61962890625, 2776.82080078125], [1157.48876953125, 2775.9033203125], [1156.465087890625, 2706.8505859375], [1094.595947265625, 2707.76806640625]], ""xywhr"": [1126.0423583984375, 2741.835693359375, 69.06037902832031, 61.87602615356445, 1.555971384048462], ""area"": 4279.0}}, {""class"": ""red_spots"", ""confidence"": 0.26070401072502136, ""obb"": {""xyxyxyxy"": [[1226.78466796875, 2665.671875], [1231.697021484375, 2469.248046875], [985.0055541992188, 2463.07861328125], [980.0933227539062, 2659.50244140625]], ""xywhr"": [1105.8951416015625, 2564.375244140625, 246.7686004638672, 196.4850616455078, 0.025003306567668915], ""area"": 48246.0}}]"
2025110411230009,/tmp/potato_inspection_system/data/test/project-3-at-2025-10-30-19-49-55a1bb93(1)/images/test/142d3876-Pic_2025_10_21_155115_246.jpeg,"[2737, 2305, 724, 457]",194585.5,OK_S5,00001000,5,3,"{""scabs"": 1, ""red_spots"": 2}","[{""class"": ""scabs"", ""confidence"": 0.8226669430732727, ""obb"": {""xyxyxyxy"": [[3409.02294921875, 2680.58984375], [3411.82568359375, 2518.35498046875], [3221.49365234375, 2515.06689453125], [3218.69091796875, 2677.3017578125]], ""xywhr"": [3315.25830078125, 2597.828369140625, 190.36044311523438, 162.2588653564453, 0.01727413758635521], ""area"": 30868.5}}, {""class"": ""red_spots"", ""confidence"": 0.3730132579803467, ""obb"": {""xyxyxyxy"": [[3327.83203125, 2478.78955078125], [3332.759765625, 2323.89111328125], [3136.09765625, 2317.634765625], [3131.169921875, 2472.533203125]], ""xywhr"": [3231.96484375, 2398.212158203125, 196.7613983154297, 154.9767303466797, 0.03180154785513878], ""area"": 30410.0}}, {""class"": ""red_spots"", ""confidence"": 0.25903940200805664, ""obb"": {""xyxyxyxy"": [[3173.729736328125, 2685.829345703125], [3178.526611328125, 2454.052978515625], [2922.510986328125, 2448.754150390625], [2917.714111328125, 2680.530517578125]], ""xywhr"": [3048.120361328125, 2567.291748046875, 256.0705261230469, 231.8260955810547, 0.020694134756922722], ""area"": 59291.5}}]"
2025110411230010,/tmp/potato_inspection_system/data/test/project-3-at-2025-10-30-19-49-55a1bb93(1)/images/test/142d3876-Pic_2025_10_21_155115_246.jpeg,"[429, 167, 435, 361]",114587.0,NG,00000001,8,2,"{""scabs"": 2}","[{""class"": ""scabs"", ""confidence"": 0.2990000545978546, ""obb"": {""xyxyxyxy"": [[627.8450927734375, 496.3916931152344], [636.1458740234375, 338.0622863769531], [492.0611572265625, 330.5083312988281], [483.7603759765625, 488.8377380371094]], ""xywhr"": [559.953125, 413.45001220703125, 144.2826385498047, 158.54684448242188, 0.0523793026804924], ""area"": 22824.0}}, {""class"": ""scabs"", ""confidence"": 0.27471980452537537, ""obb"": {""xyxyxyxy"": [[870.3187255859375, 374.761474609375], [875.1956787109375, 261.97894287109375], [755.8974609375, 256.8201904296875], [751.0205078125, 369.60272216796875]], ""xywhr"": [813.1080932617188, 315.79083251953125, 119.40975189208984, 112.887939453125, 0.04321567714214325], ""area"": 13526.0}}]"
