potato_id,frame,bbox_json,grade,signal_bits,lane,counts_json,timestamp
2025110513462201,0,"[235, 2725, 1331, 84]",OK_S3,00100000,3,{},1762321583.0047004
2025110513462202,0,"[2075, 2705, 1479, 93]",OK_S4,00010000,4,{},1762321583.0297198
2025110513462203,0,"[2215, 2349, 569, 348]",OK_S5,00001000,5,"{""red_spots"": 1}",1762321583.1115983
2025110513462204,0,"[578, 1838, 641, 307]",OK_S5,00001000,5,{},1762321583.1791112
2025110513462205,0,"[298, 135, 463, 345]",OK_S4,00010000,4,{},1762321583.2677288
2025110513462206,0,"[115, 129, 3879, 2603]",NG,00000001,8,"{""potato"": 6, ""scabs"": 8, ""black_spots"": 5, ""red_spots"": 6, ""pits"": 1}",1762321583.364875
2025110513462207,0,"[2068, 25, 1549, 337]",OK_S7,00000010,7,{},1762321583.416771
2025110513462208,0,"[151, 0, 1412, 374]",NG,00000001,8,"{""scabs"": 3, ""potato"": 2, ""black_spots"": 1}",1762321583.469867
2025110513462401,1,"[599, 20, 965, 75]",OK_S2,01000000,2,{},1762321584.277369
2025110513462501,2,"[1071, 1549, 363, 262]",OK_S3,00100000,3,{},1762321585.1027958
2025110513462502,3,"[278, 2022, 377, 330]",OK_S3,00100000,3,{},1762321585.9628727
2025110513462503,3,"[2208, 0, 505, 185]",OK_S3,00100000,3,{},1762321586.0229042
2025110513462601,4,"[2081, 2863, 1474, 95]",OK_S4,00010000,4,{},1762321586.845533
2025110513462602,4,"[413, 2559, 410, 342]",OK_S4,00010000,4,{},1762321586.9357467
2025110513462603,4,"[2415, 1898, 648, 289]",OK_S5,00001000,5,"{""red_spots"": 1}",1762321587.0001566
2025110513462604,4,"[2710, 1364, 741, 433]",OK_S7,00000010,7,"{""black_spots"": 1}",1762321587.0759711
2025110513462701,5,"[2083, 2940, 1470, 60]",OK_S2,01000000,2,{},1762321587.878047
2025110513462801,6,"[2812, 2680, 421, 320]",OK_S4,00010000,4,{},1762321588.7125013
2025110513462901,7,"[2080, 2920, 1474, 80]",OK_S3,00100000,3,{},1762321589.5362098
2025110513463101,9,"[195, 2844, 1371, 82]",OK_S3,00100000,3,{},1762321591.0558262
2025110513463102,9,"[2082, 2836, 1472, 79]",OK_S3,00100000,3,{},1762321591.0802052
2025110513463103,9,"[2456, 2550, 308, 285]",OK_S2,01000000,2,{},1762321591.179143
2025110513463104,9,"[2810, 1931, 496, 328]",OK_S4,00010000,4,{},1762321591.2597847
2025110513463105,9,"[2144, 1855, 631, 485]",NG,00000001,8,"{""scabs"": 5, ""black_spots"": 1, ""red_spots"": 1}",1762321591.3294466
2025110513463201,11,"[2077, 2722, 1478, 94]",OK_S4,00010000,4,{},1762321592.9298532
2025110513463202,11,"[654, 2413, 499, 273]",OK_S4,00010000,4,"{""red_spots"": 1}",1762321593.0049808
2025110513463203,11,"[2066, 45, 1981, 317]",OK_S7,00000010,7,{},1762321593.0546625
2025110513463204,11,"[150, 45, 1414, 90]",OK_S3,00100000,3,{},1762321593.079149
