epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9945,3.16547,4.35167,2.60101,0.01169,0.09153,0.01623,0.00888,2.69998,3.97931,2.30472,0.00010908,0.00010908,0.00010908
2,58.6023,2.89425,3.6505,1.99062,0.68589,0.02459,0.01527,0.00429,2.60491,3.3192,1.92342,0.000225,0.000225,0.000225
3,85.6564,2.62517,3.16129,1.83326,0.02596,0.28752,0.03348,0.01083,2.43736,2.94839,1.84565,0.000338581,0.000338581,0.000338581
4,112.776,2.48105,2.92031,1.76505,0.38667,0.15651,0.05142,0.02189,2.32002,2.78247,1.76569,0.000449821,0.000449821,0.000449821
5,140.088,2.40859,2.7412,1.70762,0.42445,0.21759,0.0867,0.03821,2.22214,2.6396,1.71669,0.000558722,0.000558722,0.000558722
6,167.219,2.30016,2.64615,1.78513,0.62053,0.18201,0.17505,0.08168,2.17405,2.542,1.68286,0.000665283,0.000665283,0.000665283
7,195.296,2.23969,2.46814,1.65073,0.48982,0.3041,0.1756,0.0751,2.13686,2.28215,1.67004,0.000769505,0.000769505,0.000769505
8,223.394,2.20714,2.39698,1.73885,0.48528,0.28029,0.1723,0.0757,2.11538,2.26288,1.6998,0.000846006,0.000846006,0.000846006
9,250.731,2.19161,2.37296,1.69067,0.46356,0.3173,0.19777,0.08574,2.07711,2.15263,1.71206,0.000837007,0.000837007,0.000837007
10,278.626,2.17825,2.19751,1.65319,0.65948,0.25412,0.19861,0.08662,2.08257,2.11337,1.70775,0.000828008,0.000828008,0.000828008
11,306.811,2.12974,2.24402,1.68476,0.68177,0.22917,0.20077,0.09536,2.0433,2.09809,1.71136,0.000819009,0.000819009,0.000819009
12,334.366,2.13115,2.1656,1.70136,0.492,0.34067,0.23843,0.11808,2.01373,2.06263,1.71074,0.00081001,0.00081001,0.00081001
13,361.499,2.10594,2.20006,1.69375,0.60769,0.3121,0.28525,0.14205,1.99627,2.04479,1.69344,0.000801011,0.000801011,0.000801011
14,388.755,2.0773,2.075,1.69055,0.67159,0.26129,0.31882,0.15776,1.96591,1.98481,1.67451,0.000792012,0.000792012,0.000792012
15,415.913,2.02961,2.06466,1.6993,0.60539,0.30447,0.45382,0.24365,1.95547,1.90631,1.68795,0.000783013,0.000783013,0.000783013
16,443.687,2.05929,2.03342,1.73484,0.42741,0.35453,0.4561,0.24355,1.97397,1.86868,1.72063,0.000774013,0.000774013,0.000774013
17,471.698,1.97489,1.97434,1.72902,0.36516,0.61479,0.48092,0.28924,1.94829,1.87596,1.71293,0.000765014,0.000765014,0.000765014
18,499.423,2.01826,1.95851,1.73053,0.39124,0.6217,0.49521,0.31436,1.94033,1.87064,1.70478,0.000756015,0.000756015,0.000756015
19,527.252,2.00913,1.91346,1.70618,0.66164,0.32415,0.5074,0.34043,1.96382,1.8362,1.70534,0.000747016,0.000747016,0.000747016
20,555.368,1.9994,1.88525,1.66564,0.66064,0.39657,0.53108,0.33998,1.91432,1.80901,1.67466,0.000738017,0.000738017,0.000738017
21,583.457,2.00444,1.85641,1.61479,0.41306,0.64259,0.52855,0.33986,1.94517,1.80886,1.67946,0.000729018,0.000729018,0.000729018
22,611.203,2.00006,1.8707,1.64184,0.41105,0.62793,0.53037,0.36268,1.88593,1.77811,1.6631,0.000720019,0.000720019,0.000720019
23,638.859,1.9125,1.84395,1.62205,0.44028,0.54956,0.52238,0.35094,1.83498,1.78701,1.63904,0.00071102,0.00071102,0.00071102
24,666.634,1.8965,1.77514,1.59737,0.59577,0.51811,0.52934,0.35316,1.83099,1.77977,1.64444,0.000702021,0.000702021,0.000702021
25,694.432,1.87889,1.71193,1.58175,0.67596,0.49681,0.53265,0.35805,1.84436,1.72213,1.65423,0.000693022,0.000693022,0.000693022
