epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5264,3.16547,4.35167,2.60101,0.01169,0.09153,0.01623,0.00888,2.69998,3.97931,2.30472,0.00010908,0.00010908,0.00010908
2,60.6671,2.89528,3.65128,1.99222,0.68633,0.02459,0.01523,0.00436,2.60556,3.3184,1.92473,0.00022275,0.00022275,0.00022275
3,88.209,2.62795,3.16288,1.83347,0.02531,0.28752,0.03377,0.01084,2.43819,2.95521,1.84209,0.000331741,0.000331741,0.000331741
4,116.265,2.48325,2.92136,1.76605,0.38635,0.15598,0.05162,0.02078,2.31938,2.77109,1.77253,0.000436053,0.000436053,0.000436053
5,143.24,2.40875,2.74418,1.70738,0.25595,0.16339,0.08106,0.03555,2.23489,2.65577,1.71484,0.000535685,0.000535685,0.000535685
6,170.351,2.31005,2.65523,1.78002,0.60339,0.17179,0.12899,0.05411,2.19919,2.55951,1.67961,0.000630637,0.000630637,0.000630637
7,198.073,2.2597,2.46876,1.64648,0.50232,0.27491,0.17052,0.07273,2.1861,2.29159,1.64991,0.00072091,0.00072091,0.00072091
8,225.859,2.22504,2.40574,1.73095,0.38333,0.335,0.16712,0.07194,2.16524,2.29129,1.68825,0.000783013,0.000783013,0.000783013
9,252.305,2.20471,2.37363,1.67816,0.50987,0.23461,0.19619,0.08383,2.09425,2.16717,1.68656,0.000765014,0.000765014,0.000765014
10,279.279,2.1907,2.19424,1.64248,0.35645,0.27899,0.19228,0.08198,2.07614,2.12448,1.70459,0.000747016,0.000747016,0.000747016
11,306.701,2.14812,2.2498,1.68397,0.68308,0.24605,0.1968,0.08875,2.04712,2.11881,1.68034,0.000729018,0.000729018,0.000729018
12,334.673,2.14447,2.17252,1.68949,0.70481,0.19889,0.21188,0.10141,2.03755,2.04842,1.71476,0.00071102,0.00071102,0.00071102
13,362.022,2.12296,2.16165,1.69429,0.49581,0.25635,0.22961,0.11347,2.02241,2.03828,1.71716,0.000693022,0.000693022,0.000693022
